level,n_series,wrmsse_snaive,wrmsse_model,wrmsse_trend,wrmsse_optimized,model_gain_abs,model_gain_pct,trend_gain_abs,trend_gain_pct,optimized_gain_abs,optimized_gain_pct,total_gain_pct
L1_Total,1,0.6288945410210011,0.2133651897975907,0.199010472456473,0.199010472456473,0.4155293512234104,0.6607297791912847,0.014354717341117706,0.06727769114884831,0.014354717341117706,0.06727769114884831,0.683555096322855
L2_State,3,0.6891539067651542,0.2983531762260679,0.2913491371293428,0.2913491371293428,0.3908007305390863,0.5670732280594342,0.00700403909672509,0.02347566459764449,0.00700403909672509,0.02347566459764449,0.5772364717528519
L3_Store,10,0.7485747935674464,0.3915920298026554,0.3887273769906142,0.3887273769906142,0.356982763764791,0.47688322774473296,0.0028646528120411796,0.0073154012186735125,0.0028646528120411796,0.0073154012186735125,0.4807100368179977
L4_Category,3,0.6565254493471466,0.2592108702586627,0.2494638301982762,0.2494638301982763,0.39731457908848394,0.6051777269008783,0.009747040060386486,0.03760274424702968,0.009747040060386375,0.03760274424702926,0.6200241278592553
L5_Department,7,0.7572840857589163,0.3347771485117829,0.3320205827809428,0.3320205827809427,0.42250693724713334,0.5579239616843602,0.0027565657308400993,0.008234031931671939,0.0027565657308402103,0.00823403193167227,0.5615640299000784
L6_State_Category,9,0.71905246280091,0.3572996693785581,0.3526545251483007,0.3526545251483007,0.36175279342235184,0.5030965223500157,0.004645144230257414,0.013000695573932635,0.004645144230257414,0.013000695573932635,0.5095566131925716
L7_State_Department,21,0.8041589276826722,0.4329054653254005,0.4320603251771241,0.4320603251771241,0.3712534623572717,0.4616667795097481,0.0008451401482763576,0.0019522510477919105,0.0008451401482763576,0.0019522510477919105,0.4627177411035114
L8_Store_Category,30,0.7938262381155983,0.4556920687636341,0.4533252949020448,0.4533252949020448,0.33813416935196416,0.4259548917841697,0.0023667738615892886,0.005193800866472675,0.0023667738615892886,0.005193800866472675,0.42893636776461547
L9_Store_Department,70,0.8757895887688668,0.5398485208996412,0.5398079604896625,0.5398079604896625,0.3359410678692256,0.3835865054544342,4.056040997868493e-05,7.51329463885392e-05,4.056040997868493e-05,7.51329463885392e-05,0.38363281841647306
L10_Item,3049,1.0941114683183275,0.7945655119563326,0.7932403171057658,0.7932403171057658,0.2995459563619949,0.2737801083672063,0.0013251948505668132,0.0016678232702348182,0.0013251948505668132,0.0016678232702348182,0.27499131480177885
L11_Item_State,9147,1.1286435993453838,0.8087536790529858,0.8082791022529053,0.8082791022529052,0.31988992029239804,0.28342863989831246,0.00047457680008045067,0.0005868001746046569,0.0004745768000805617,0.0005868001746047941,0.28384912409753693
L12_Item_Store,30490,1.1566964414087637,0.816533039225261,0.8165459640822168,0.8165459640822168,0.3401634021835027,0.29408182648959386,-1.292485695580936e-05,-1.582894547423661e-05,-1.292485695580936e-05,-1.582894547423661e-05,0.2940706525493161
Average,42840,0.8377259585750156,0.4752413640998811,0.4713737407261391,0.4713737407261391,0.36248459447513454,0.4327006830392677,0.003867623373742024,0.008138229678444337,0.003867623373742024,0.008138229678444337,0.4373174951771187
