state_id,store_id,actual,base,optimized,base_bias_pct,optimized_bias_pct,bias_improvement_abs
CA,CA_2,132920,126704.78171174203,127519.08907197152,-0.04675909034199493,-0.040632793620436924,0.006126296721558004
TX,TX_3,116610,112952.13138985539,113678.05310095246,-0.03136839559338485,-0.025143185824951064,0.006225209768433784
WI,WI_1,112444,109844.30231562827,110550.2506046075,-0.023119932449679196,-0.016841711388713498,0.006278221060965698
TX,TX_2,115258,113739.43950146048,114470.42109097245,-0.013175315366738261,-0.006833182156792156,0.0063421332099461054
WI,WI_3,114775,113293.97748966739,114022.09618016321,-0.01290370298699724,-0.006559824176317077,0.0063438788106801635
TX,TX_1,97531,96326.12599268826,96945.19555200996,-0.012353754265943515,-0.006006341040182525,0.00634741322576099
WI,WI_2,153976,152820.74827090785,153802.89794538415,-0.007502803872630496,-0.0011242145179499031,0.006378589354680593
CA,CA_4,78858,78777.84861923446,79284.13876146152,-0.0010164013894030136,0.00540387483148854,-0.004387473442085526
CA,CA_1,134032,135675.0777293067,136547.0354636725,0.01225884661354533,0.018764440310317758,-0.0065055936967724284
CA,CA_3,175360,178521.1393672059,179668.4605320377,0.018026570296566524,0.024569232048572576,-0.006542661752006053
