level,n_series,wrmsse,mean_rmsse,weight_sum
L1_Total,1,0.19901047245647305,0.19901047245647305,1.0
L2_State,3,0.29134913712934285,0.30764823281707365,1.0
L3_Store,10,0.38872737699061427,0.3950107703311409,0.9999999999999999
L4_Category,3,0.24946383019827628,0.2812024903749591,1.0
L5_Department,7,0.3320205827809428,0.5184048236688609,1.0
L6_State_Category,9,0.35265452514830076,0.41282625863470157,0.9999999999999998
L7_State_Department,21,0.4320603251771241,0.5990176447280431,1.0
L8_Store_Category,30,0.4533252949020448,0.512133994813886,0.9999999999999998
L9_Store_Department,70,0.5398079604896625,0.6631331872370468,0.9999999999999998
L10_Item,3049,0.7932403171057658,0.7899515887675873,1.0
L11_Item_State,9147,0.8082791022529053,0.775873141946693,1.0
L12_Item_Store,30490,0.8165459640822168,0.7510501117018789,0.9999999999999999
Average,42840,0.4713737407261391,,
